ID,furnace,role,Description,UoM,pass
01TI3029A.PV,1HC,tube_COT,,,A
01TI3056A.PV,1HC,tube_COT,,,B
01TI3112A.PV,1HC,tube_COT,,,C
01TI3143A.PV,1HC,tube_COT,,,C
01TI3144A.PV,1HC,tube_COT,,,C
01TI3149A.PV,1HC,tube_COT,,,D
01TI3151A.PV,1HC,tube_COT,H-C TUBE CUR COT 151,DEGC,D
01TI1051A.PV,1HA,tube_COT,,,B
01TI1064A.PV,1HA,tube_COT,,,B
01TI1066A.PV,1HA,tube_COT,,,B
01TI1070A.PV,1HA,tube_COT,,,B
01TI1075A.PV,1HA,tube_COT,,,B
01TI1084A.PV,1HA,tube_COT,,DEGC,B
01TI1145A.PV,1HA,tube_COT,,,D
01TI1153A.PV,1HA,tube_COT,,,D
01TI1171A.PV,1HA,tube_COT,,,D
01TI1188A.PV,1HA,tube_COT,,,D
01TI1192A.PV,1HA,tube_COT,,,D
01TI2013A.PV,1HB,tube_COT,,,A
01TI2015A.PV,1HB,tube_COT,,,A
01TI2041A.PV,1HB,tube_COT,,,A
01TI2055A.PV,1HB,tube_COT,,,B
01TI2082A.PV,1HB,tube_COT,,,B
01TI2083A.PV,1HB,tube_COT,,,B
01TI2090A.PV,1HB,tube_COT,,,B
01TI2100A.PV,1HB,tube_COT,,,C
01TI2122A.PV,1HB,tube_COT,,,C
01TI2130A.PV,1HB,tube_COT,,,C
01TI2135A.PV,1HB,tube_COT,,,C
01TI2173A.PV,1HB,tube_COT,H-B TUBE CUR COT 173,DEGC,D
01TI2174A.PV,1HB,tube_COT,H-B TUBE CUR COT 174,DEGC,D
01TI3007A.PV,1HC,tube_COT,,,A
01TI3045A.PV,1HC,tube_COT,,,A
01TI3061A.PV,1HC,tube_COT,,,B
01TI3062A.PV,1HC,tube_COT,,,B
01TI3072A.PV,1HC,tube_COT,,,B
01TI3089A.PV,1HC,tube_COT,,,B
01TI3105A.PV,1HC,tube_COT,,,C
01TI3111A.PV,1HC,tube_COT,,,C
01TI3118A.PV,1HC,tube_COT,,,C
01TI3142A.PV,1HC,tube_COT,,,C
01TI3148A.PV,1HC,tube_COT,,,D
01TI3156A.PV,1HC,tube_COT,,DEGC,D
01TI1028A.PV,1HA,tube_COT,,,A
01TI1030A.PV,1HA,tube_COT,,,A
01TI1036A.PV,1HA,tube_COT,,,A
01TI1040A.PV,1HA,tube_COT,,,A
01TI1046A.PV,1HA,tube_COT,,,A
01TI1072A.PV,1HA,tube_COT,,,B
01TI1074A.PV,1HA,tube_COT,,,B
01TI1095A.PV,1HA,tube_COT,,,B
